Periodo,FechaNotificacion,UsuarioID,Rol,Actividad,TipoNotificacion,DiasAntes,MinutosAntes,HorasDespues,EstadoNotificacion,RespuestaRecibida,TiempoRespuesta,ExitoEntrega,Efectividad
2022-2,2022-07-27,1411,Docente,Inicio de Ciclo,Recordatorio,2,15,0,Enviada,1,17,Éxito,Media
2022-1,2022-06-02,3521,Estudiante,Cuarta Práctica Calificada,Recordatorio,3,0,0,Pendiente,0,0,Fallo,Nula
2022-2,2022-07-30,502,Estudiante,Examen Final,Preparación,5,0,0,Enviada,1,3,Éxito,Media
2021-1,2021-02-28,10893,Estudiante,Examen Final,Seguimiento,5,0,0,Enviada,1,10,Éxito,Baja
2023-1,2023-01-29,9247,Docente,Examen Final,Preparación,3,0,0,Enviada,0,0,Éxito,Nula
2022-2,2022-10-22,493,Estudiante,Cierre de Ciclo,Recordatorio,1,10,0,Enviada,0,0,Éxito,Nula
2022-1,2022-06-03,9230,Estudiante,Examen Final,Justificación,3,0,0,Enviada,1,21,Éxito,Alta
2022-2,2022-07-16,5923,Estudiante,Cuarta Práctica Calificada,Preparación,3,0,0,Enviada,0,0,Éxito,Nula
2022-2,2022-12-09,3462,Estudiante,Examen Final,Asistencia,5,0,0,Fallida,0,0,Fallo,Nula
2024-1,2024-06-07,2770,Estudiante,Examen Sustitutorio,Asistencia,2,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-03-20,6276,Docente,Inicio de Ciclo,Seguimiento,0,0,2,Enviada,1,4,Éxito,Media
2022-2,2022-10-04,9426,Estudiante,Cuarta Práctica Calificada,Justificación,3,0,0,Enviada,1,12,Éxito,Alta
2024-1,2024-02-25,585,Docente,Cuarta Práctica Calificada,Justificación,5,0,0,Enviada,1,5,Éxito,Media
2022-1,2022-02-05,4225,Estudiante,Segunda Práctica Calificada,Seguimiento,1,0,0,Enviada,1,13,Éxito,Baja
2020-2,2020-10-30,2791,Docente,Tercera Práctica Calificada,Preparación,3,0,0,Enviada,0,0,Éxito,Nula
2022-2,2022-09-18,5622,Docente,Cuarta Práctica Calificada,Asistencia,5,0,0,Enviada,1,3,Éxito,Alta
2020-1,2020-02-02,413,Docente,Examen Parcial,Seguimiento,3,0,0,Enviada,1,30,Éxito,Baja
2020-1,2020-02-24,3601,Estudiante,Cierre de Ciclo,Asistencia,0,10,0,Enviada,1,22,Éxito,Media
2022-2,2022-12-24,6583,Estudiante,Cuarta Práctica Calificada,Seguimiento,5,0,0,Fallida,0,0,Fallo,Nula
2021-2,2021-08-13,5803,Docente,Examen Final,Seguimiento,3,0,0,Enviada,0,0,Éxito,Nula
2023-2,2023-12-22,10120,Estudiante,Examen Parcial,Justificación,3,0,0,Enviada,1,13,Éxito,Alta
2023-2,2023-08-03,10682,Docente,Examen Parcial,Recordatorio,7,0,0,Pendiente,0,0,Fallo,Nula
2020-2,2020-07-18,10490,Docente,Cuarta Práctica Calificada,Recordatorio,5,0,0,Fallida,0,0,Fallo,Nula
2022-1,2022-05-02,3516,Docente,Segunda Práctica Calificada,Seguimiento,1,0,0,Enviada,0,0,Éxito,Nula
2020-2,2020-12-08,11147,Estudiante,Tercera Práctica Calificada,Recordatorio,5,0,0,Enviada,0,0,Éxito,Nula
2022-1,2022-02-17,3474,Docente,Cierre de Ciclo,Justificación,1,10,0,Enviada,1,19,Éxito,Baja
2021-1,2021-05-23,4420,Docente,Cuarta Práctica Calificada,Recordatorio,5,0,0,Enviada,1,4,Éxito,Alta
2022-1,2022-02-20,1984,Docente,Segunda Práctica Calificada,Recordatorio,3,0,0,Fallida,0,0,Fallo,Nula
2024-1,2024-01-04,688,Estudiante,Inicio de Ciclo,Seguimiento,0,15,0,Enviada,0,0,Éxito,Nula
2021-1,2021-01-31,4808,Estudiante,Inicio de Ciclo,Seguimiento,2,10,0,Enviada,1,5,Éxito,Baja
2021-2,2021-12-12,4777,Estudiante,Inicio de Ciclo,Justificación,2,0,0,Enviada,1,25,Éxito,Alta
2023-1,2023-01-22,2940,Estudiante,Segunda Práctica Calificada,Recordatorio,1,0,0,Enviada,1,6,Éxito,Baja
2021-1,2021-05-30,11972,Estudiante,Inicio de Ciclo,Preparación,0,0,1,Pendiente,0,0,Fallo,Nula
2022-1,2022-01-19,8579,Estudiante,Segunda Práctica Calificada,Seguimiento,3,0,0,Pendiente,0,0,Fallo,Nula
2021-2,2021-07-11,6281,Estudiante,Inicio de Ciclo,Asistencia,2,10,0,Enviada,1,16,Éxito,Baja
2022-2,2022-08-22,7529,Estudiante,Cuarta Práctica Calificada,Recordatorio,1,0,0,Pendiente,0,0,Fallo,Nula
2022-2,2022-11-18,2375,Estudiante,Examen Parcial,Seguimiento,5,0,0,Enviada,0,0,Éxito,Nula
2021-2,2021-09-28,4779,Estudiante,Examen Final,Asistencia,5,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-01-11,4123,Estudiante,Inicio de Ciclo,Seguimiento,1,15,0,Enviada,1,21,Éxito,Baja
2021-2,2021-08-22,8081,Docente,Tercera Práctica Calificada,Justificación,5,0,0,Enviada,1,1,Éxito,Media
2022-1,2022-04-22,12193,Estudiante,Examen Final,Asistencia,5,0,0,Enviada,1,2,Éxito,Media
2023-2,2023-11-15,7073,Estudiante,Cuarta Práctica Calificada,Seguimiento,5,0,0,Enviada,1,29,Éxito,Media
2023-2,2023-09-18,946,Docente,Primera Práctica Calificada,Asistencia,3,0,0,Enviada,1,10,Éxito,Baja
2021-2,2021-11-29,4064,Estudiante,Examen Parcial,Recordatorio,5,0,0,Enviada,1,24,Éxito,Alta
2020-2,2020-11-04,12802,Docente,Segunda Práctica Calificada,Recordatorio,5,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-01-22,5938,Docente,Segunda Práctica Calificada,Asistencia,5,0,0,Pendiente,0,0,Fallo,Nula
2021-2,2021-11-22,1905,Estudiante,Primera Práctica Calificada,Recordatorio,1,0,0,Pendiente,0,0,Fallo,Nula
2024-1,2024-04-14,1608,Docente,Examen Parcial,Seguimiento,3,0,0,Enviada,1,21,Éxito,Media
2024-1,2024-06-03,216,Docente,Primera Práctica Calificada,Recordatorio,3,0,0,Enviada,1,12,Éxito,Baja
2021-1,2021-06-10,10720,Docente,Segunda Práctica Calificada,Justificación,5,0,0,Enviada,1,13,Éxito,Media
2021-1,2021-01-24,6200,Estudiante,Examen Parcial,Justificación,7,0,0,Enviada,1,19,Éxito,Media
2022-2,2022-08-10,10289,Estudiante,Inicio de Ciclo,Seguimiento,0,0,1,Enviada,1,4,Éxito,Baja
2023-2,2023-11-03,8075,Docente,Examen Sustitutorio,Seguimiento,0,0,0,Fallida,0,0,Fallo,Nula
2022-2,2022-09-24,7033,Estudiante,Examen Parcial,Seguimiento,5,0,0,Enviada,0,0,Éxito,Nula
2020-2,2020-10-25,1572,Estudiante,Examen Final,Recordatorio,3,0,0,Enviada,0,0,Éxito,Nula
2022-2,2022-09-04,6306,Estudiante,Examen Sustitutorio,Seguimiento,0,0,0,Enviada,1,11,Éxito,Media
2024-1,2024-04-21,10473,Estudiante,Examen Parcial,Asistencia,5,0,0,Pendiente,0,0,Fallo,Nula
2022-2,2022-07-27,6990,Estudiante,Examen Parcial,Preparación,7,0,0,Enviada,1,5,Éxito,Alta
2024-1,2024-04-16,410,Estudiante,Examen Parcial,Justificación,3,0,0,Fallida,0,0,Fallo,Nula
2021-1,2021-06-11,1929,Estudiante,Examen Final,Recordatorio,3,0,0,Enviada,0,0,Éxito,Nula
2024-1,2024-05-21,456,Docente,Tercera Práctica Calificada,Asistencia,1,0,0,Enviada,0,0,Éxito,Nula
2022-1,2022-06-30,11822,Docente,Segunda Práctica Calificada,Asistencia,5,0,0,Enviada,1,14,Éxito,Baja
2021-2,2021-08-12,9432,Estudiante,Examen Sustitutorio,Seguimiento,2,0,0,Enviada,0,0,Éxito,Nula
2020-2,2020-09-23,9340,Estudiante,Tercera Práctica Calificada,Recordatorio,1,0,0,Enviada,1,20,Éxito,Baja
2021-2,2021-08-19,6313,Docente,Examen Sustitutorio,Asistencia,2,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-03-11,8770,Estudiante,Segunda Práctica Calificada,Justificación,3,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-03-04,367,Estudiante,Tercera Práctica Calificada,Seguimiento,3,0,0,Pendiente,0,0,Fallo,Nula
2024-1,2024-02-14,5184,Docente,Examen Final,Seguimiento,7,0,0,Enviada,1,24,Éxito,Media
2022-2,2022-12-09,3516,Estudiante,Cuarta Práctica Calificada,Recordatorio,3,0,0,Enviada,1,24,Éxito,Baja
2023-1,2023-04-23,10411,Docente,Inicio de Ciclo,Justificación,2,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-05-29,6554,Estudiante,Examen Parcial,Justificación,5,0,0,Enviada,0,0,Éxito,Nula
2020-1,2020-05-17,11003,Docente,Examen Sustitutorio,Asistencia,1,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-01-31,9988,Estudiante,Examen Final,Justificación,7,0,0,Pendiente,0,0,Fallo,Nula
2023-2,2023-07-21,3276,Docente,Cuarta Práctica Calificada,Recordatorio,5,0,0,Enviada,0,0,Éxito,Nula
2020-1,2020-05-23,6536,Estudiante,Cierre de Ciclo,Asistencia,0,0,0,Enviada,1,1,Éxito,Alta
2023-1,2023-06-13,12418,Estudiante,Cierre de Ciclo,Justificación,2,0,0,Enviada,0,0,Éxito,Nula
2021-2,2021-09-25,9448,Estudiante,Examen Final,Seguimiento,3,0,0,Enviada,1,30,Éxito,Baja
2021-2,2021-09-24,6797,Estudiante,Primera Práctica Calificada,Seguimiento,1,0,0,Enviada,0,0,Éxito,Nula
2020-2,2020-10-28,5270,Docente,Examen Parcial,Seguimiento,5,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-02-01,4303,Estudiante,Examen Final,Preparación,5,0,0,Enviada,1,11,Éxito,Media
2021-1,2021-04-22,9445,Docente,Cuarta Práctica Calificada,Preparación,5,0,0,Pendiente,0,0,Fallo,Nula
2022-1,2022-02-23,7368,Estudiante,Examen Final,Recordatorio,7,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-04-28,8037,Docente,Cuarta Práctica Calificada,Asistencia,5,0,0,Enviada,1,27,Éxito,Alta
2022-1,2022-02-22,3960,Docente,Inicio de Ciclo,Seguimiento,1,0,0,Fallida,0,0,Fallo,Nula
2020-2,2020-10-14,12022,Docente,Examen Final,Asistencia,7,0,0,Enviada,1,24,Éxito,Baja
2021-1,2021-05-29,8120,Docente,Tercera Práctica Calificada,Seguimiento,5,0,0,Enviada,0,0,Éxito,Nula
2023-1,2023-04-17,5040,Docente,Segunda Práctica Calificada,Justificación,1,0,0,Enviada,0,0,Éxito,Nula
2021-1,2021-06-30,1102,Estudiante,Inicio de Ciclo,Asistencia,0,15,2,Enviada,1,26,Éxito,Media
2022-2,2022-09-26,12950,Estudiante,Primera Práctica Calificada,Recordatorio,3,0,0,Enviada,1,25,Éxito,Media
2022-2,2022-08-20,10916,Estudiante,Cierre de Ciclo,Recordatorio,2,0,0,Enviada,1,18,Éxito,Media
2021-2,2021-11-05,259,Estudiante,Examen Final,Asistencia,5,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-05-26,5680,Docente,Primera Práctica Calificada,Justificación,5,0,0,Enviada,1,8,Éxito,Alta
2020-1,2020-05-04,846,Estudiante,Segunda Práctica Calificada,Seguimiento,5,0,0,Enviada,1,8,Éxito,Alta
2020-1,2020-03-08,9957,Estudiante,Examen Final,Asistencia,7,0,0,Enviada,0,0,Éxito,Nula
2024-1,2024-01-24,7062,Docente,Examen Final,Asistencia,5,0,0,Enviada,1,24,Éxito,Alta
2024-1,2024-05-08,12874,Docente,Examen Final,Justificación,7,0,0,Enviada,1,20,Éxito,Baja
2021-2,2021-09-13,9667,Docente,Inicio de Ciclo,Justificación,1,15,0,Enviada,1,13,Éxito,Alta
2023-2,2023-07-02,6227,Estudiante,Examen Parcial,Asistencia,7,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-03-22,4383,Docente,Primera Práctica Calificada,Seguimiento,3,0,0,Fallida,0,0,Fallo,Nula
2023-2,2023-07-03,2039,Estudiante,Examen Parcial,Seguimiento,7,0,0,Enviada,1,25,Éxito,Baja
2023-2,2023-11-08,4323,Docente,Tercera Práctica Calificada,Preparación,5,0,0,Pendiente,0,0,Fallo,Nula
2024-1,2024-02-28,8669,Docente,Cierre de Ciclo,Seguimiento,2,10,0,Fallida,0,0,Fallo,Nula
2022-1,2022-01-24,2142,Estudiante,Segunda Práctica Calificada,Seguimiento,3,0,0,Fallida,0,0,Fallo,Nula
2023-1,2023-05-04,102,Estudiante,Primera Práctica Calificada,Seguimiento,3,0,0,Enviada,1,12,Éxito,Baja
2023-1,2023-02-01,11828,Docente,Tercera Práctica Calificada,Seguimiento,3,0,0,Enviada,1,24,Éxito,Baja
2021-2,2021-08-03,9600,Docente,Examen Sustitutorio,Justificación,1,0,0,Enviada,1,12,Éxito,Alta
2021-1,2021-06-02,6503,Estudiante,Inicio de Ciclo,Preparación,1,10,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-01-05,6737,Estudiante,Cierre de Ciclo,Justificación,0,10,0,Pendiente,0,0,Fallo,Nula
2022-1,2022-06-30,4218,Estudiante,Examen Parcial,Preparación,7,0,0,Enviada,1,19,Éxito,Media
2020-1,2020-02-13,11304,Docente,Tercera Práctica Calificada,Justificación,1,0,0,Fallida,0,0,Fallo,Nula
2021-1,2021-01-30,9574,Docente,Examen Sustitutorio,Preparación,2,0,0,Enviada,0,0,Éxito,Nula
2021-2,2021-08-03,1165,Estudiante,Cierre de Ciclo,Asistencia,0,15,0,Enviada,1,13,Éxito,Alta
2023-2,2023-10-04,3252,Estudiante,Cuarta Práctica Calificada,Recordatorio,5,0,0,Enviada,1,10,Éxito,Baja
2020-2,2020-12-20,2059,Docente,Cierre de Ciclo,Recordatorio,0,0,0,Pendiente,0,0,Fallo,Nula
2023-2,2023-12-25,10038,Estudiante,Cierre de Ciclo,Justificación,1,10,0,Enviada,1,1,Éxito,Media
2023-2,2023-09-13,7756,Docente,Examen Parcial,Asistencia,7,0,0,Enviada,0,0,Éxito,Nula
2023-1,2023-05-24,5233,Estudiante,Segunda Práctica Calificada,Justificación,5,0,0,Enviada,1,24,Éxito,Baja
2021-2,2021-12-02,1861,Docente,Tercera Práctica Calificada,Preparación,3,0,0,Enviada,1,19,Éxito,Baja
2022-1,2022-06-26,1866,Docente,Inicio de Ciclo,Recordatorio,2,10,0,Enviada,1,12,Éxito,Media
2023-1,2023-01-18,8110,Estudiante,Examen Parcial,Seguimiento,5,0,0,Enviada,1,1,Éxito,Baja
2020-1,2020-04-08,6943,Docente,Tercera Práctica Calificada,Seguimiento,3,0,0,Pendiente,0,0,Fallo,Nula
2020-2,2020-12-05,5904,Docente,Inicio de Ciclo,Seguimiento,2,10,0,Enviada,1,9,Éxito,Media
2024-1,2024-01-13,12249,Estudiante,Segunda Práctica Calificada,Preparación,3,0,0,Pendiente,0,0,Fallo,Nula
2023-2,2023-11-22,9008,Docente,Cuarta Práctica Calificada,Asistencia,3,0,0,Enviada,1,19,Éxito,Media
2023-2,2023-11-14,5859,Estudiante,Cuarta Práctica Calificada,Recordatorio,5,0,0,Pendiente,0,0,Fallo,Nula
2022-1,2022-03-11,10240,Docente,Examen Sustitutorio,Asistencia,0,0,0,Enviada,0,0,Éxito,Nula
2024-1,2024-04-07,10976,Docente,Tercera Práctica Calificada,Justificación,1,0,0,Enviada,1,30,Éxito,Media
2024-1,2024-02-14,10268,Docente,Cuarta Práctica Calificada,Preparación,1,0,0,Enviada,1,21,Éxito,Alta
2020-1,2020-02-10,3261,Estudiante,Segunda Práctica Calificada,Recordatorio,3,0,0,Enviada,1,13,Éxito,Alta
2021-2,2021-07-16,4923,Docente,Examen Parcial,Seguimiento,7,0,0,Enviada,1,1,Éxito,Baja
2022-2,2022-08-10,11149,Docente,Examen Parcial,Justificación,7,0,0,Enviada,0,0,Éxito,Nula
2022-2,2022-10-17,12088,Docente,Segunda Práctica Calificada,Justificación,5,0,0,Enviada,1,7,Éxito,Baja
2024-1,2024-01-05,9800,Estudiante,Examen Sustitutorio,Justificación,1,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-06-06,3980,Estudiante,Examen Parcial,Seguimiento,5,0,0,Fallida,0,0,Fallo,Nula
2022-1,2022-06-12,12668,Estudiante,Inicio de Ciclo,Recordatorio,0,0,0,Enviada,0,0,Éxito,Nula
2020-1,2020-05-10,3114,Docente,Examen Parcial,Asistencia,7,0,0,Enviada,1,29,Éxito,Alta
2023-2,2023-11-09,12752,Estudiante,Examen Parcial,Justificación,5,0,0,Fallida,0,0,Fallo,Nula
2023-2,2023-12-11,7780,Estudiante,Primera Práctica Calificada,Preparación,1,0,0,Enviada,1,15,Éxito,Alta
2023-1,2023-05-13,2135,Docente,Cuarta Práctica Calificada,Seguimiento,3,0,0,Enviada,1,20,Éxito,Baja
2020-2,2020-12-12,12893,Docente,Examen Parcial,Asistencia,5,0,0,Enviada,1,8,Éxito,Baja
2022-2,2022-07-08,10050,Docente,Primera Práctica Calificada,Asistencia,3,0,0,Enviada,1,30,Éxito,Alta
2021-2,2021-09-02,10352,Docente,Cierre de Ciclo,Asistencia,2,15,0,Enviada,1,18,Éxito,Media
2022-1,2022-01-09,5325,Estudiante,Examen Parcial,Asistencia,5,0,0,Pendiente,0,0,Fallo,Nula
2021-1,2021-05-22,8629,Estudiante,Examen Sustitutorio,Asistencia,0,0,0,Enviada,1,17,Éxito,Media
2022-2,2022-11-15,9151,Estudiante,Cierre de Ciclo,Asistencia,0,15,0,Enviada,0,0,Éxito,Nula
2023-2,2023-12-14,7486,Docente,Segunda Práctica Calificada,Seguimiento,3,0,0,Enviada,1,3,Éxito,Media
2023-2,2023-07-15,12654,Docente,Primera Práctica Calificada,Justificación,3,0,0,Enviada,0,0,Éxito,Nula
2020-1,2020-02-28,903,Estudiante,Examen Sustitutorio,Recordatorio,2,0,0,Enviada,1,18,Éxito,Baja
2022-2,2022-12-29,5759,Estudiante,Segunda Práctica Calificada,Justificación,5,0,0,Enviada,1,13,Éxito,Alta
2022-2,2022-08-13,8499,Estudiante,Inicio de Ciclo,Seguimiento,2,10,0,Enviada,0,0,Éxito,Nula
2021-2,2021-12-03,5742,Docente,Cuarta Práctica Calificada,Recordatorio,3,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-06-20,4943,Estudiante,Primera Práctica Calificada,Seguimiento,1,0,0,Enviada,1,29,Éxito,Baja
2022-2,2022-10-25,11818,Docente,Inicio de Ciclo,Recordatorio,1,10,0,Enviada,1,27,Éxito,Media
2024-1,2024-05-27,2990,Docente,Primera Práctica Calificada,Preparación,1,0,0,Enviada,1,23,Éxito,Alta
2023-1,2023-03-20,11960,Docente,Tercera Práctica Calificada,Justificación,5,0,0,Enviada,0,0,Éxito,Nula
2020-2,2020-11-06,2853,Docente,Segunda Práctica Calificada,Seguimiento,3,0,0,Enviada,1,6,Éxito,Baja
2022-2,2022-08-09,10953,Estudiante,Tercera Práctica Calificada,Seguimiento,3,0,0,Pendiente,0,0,Fallo,Nula
2021-1,2021-06-15,12093,Estudiante,Examen Parcial,Asistencia,5,0,0,Enviada,0,0,Éxito,Nula
2020-1,2020-06-26,8158,Estudiante,Cierre de Ciclo,Preparación,1,0,0,Enviada,1,30,Éxito,Alta
2022-1,2022-06-24,5720,Estudiante,Segunda Práctica Calificada,Justificación,3,0,0,Fallida,0,0,Fallo,Nula
2023-1,2023-03-17,4073,Docente,Examen Parcial,Seguimiento,5,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-04-29,6184,Docente,Primera Práctica Calificada,Asistencia,3,0,0,Enviada,1,2,Éxito,Alta
2024-1,2024-04-05,3987,Docente,Examen Parcial,Asistencia,5,0,0,Enviada,1,3,Éxito,Alta
2023-1,2023-03-03,11454,Estudiante,Examen Sustitutorio,Seguimiento,2,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-06-06,6523,Estudiante,Tercera Práctica Calificada,Asistencia,3,0,0,Enviada,1,30,Éxito,Media
2020-2,2020-12-06,346,Docente,Cuarta Práctica Calificada,Asistencia,1,0,0,Fallida,0,0,Fallo,Nula
2020-1,2020-05-14,8474,Docente,Examen Final,Seguimiento,5,0,0,Pendiente,0,0,Fallo,Nula
2024-1,2024-03-10,4384,Docente,Segunda Práctica Calificada,Seguimiento,1,0,0,Enviada,1,13,Éxito,Alta
2023-1,2023-03-05,12427,Docente,Examen Sustitutorio,Preparación,0,0,0,Pendiente,0,0,Fallo,Nula
2021-1,2021-05-22,8559,Estudiante,Examen Final,Justificación,5,0,0,Enviada,1,6,Éxito,Media
2022-2,2022-11-30,2354,Estudiante,Segunda Práctica Calificada,Recordatorio,1,0,0,Fallida,0,0,Fallo,Nula
2021-2,2021-07-03,3797,Estudiante,Primera Práctica Calificada,Seguimiento,5,0,0,Enviada,1,8,Éxito,Alta
2022-1,2022-01-13,3266,Docente,Cierre de Ciclo,Seguimiento,1,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-01-23,10133,Estudiante,Examen Parcial,Seguimiento,7,0,0,Enviada,1,20,Éxito,Alta
2020-2,2020-08-12,11064,Docente,Inicio de Ciclo,Preparación,2,15,0,Enviada,1,28,Éxito,Media
2022-1,2022-02-08,7899,Estudiante,Examen Sustitutorio,Seguimiento,2,0,0,Pendiente,0,0,Fallo,Nula
2022-1,2022-04-10,12123,Estudiante,Cierre de Ciclo,Seguimiento,2,10,0,Enviada,1,15,Éxito,Baja
2021-1,2021-04-17,1430,Estudiante,Examen Sustitutorio,Justificación,2,0,0,Pendiente,0,0,Fallo,Nula
2020-1,2020-06-14,2668,Docente,Examen Parcial,Seguimiento,3,0,0,Enviada,1,22,Éxito,Baja
2024-1,2024-02-17,2054,Estudiante,Cuarta Práctica Calificada,Asistencia,1,0,0,Enviada,1,22,Éxito,Media
2020-2,2020-10-03,710,Estudiante,Examen Parcial,Recordatorio,5,0,0,Enviada,1,13,Éxito,Baja
2023-2,2023-09-17,4897,Docente,Cuarta Práctica Calificada,Preparación,3,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-02-12,12539,Estudiante,Cierre de Ciclo,Recordatorio,0,10,0,Fallida,0,0,Fallo,Nula
2022-1,2022-02-03,6230,Docente,Tercera Práctica Calificada,Justificación,1,0,0,Pendiente,0,0,Fallo,Nula
2023-1,2023-02-26,7435,Docente,Tercera Práctica Calificada,Preparación,3,0,0,Enviada,1,17,Éxito,Media
2024-1,2024-01-23,10384,Estudiante,Examen Final,Justificación,5,0,0,Enviada,1,5,Éxito,Media
2024-1,2024-03-14,1524,Docente,Inicio de Ciclo,Asistencia,1,10,0,Enviada,1,3,Éxito,Alta
2021-1,2021-06-13,2185,Estudiante,Segunda Práctica Calificada,Justificación,5,0,0,Enviada,1,28,Éxito,Media
2021-1,2021-06-30,3632,Estudiante,Inicio de Ciclo,Seguimiento,1,0,0,Enviada,0,0,Éxito,Nula
2021-1,2021-06-28,11924,Docente,Tercera Práctica Calificada,Recordatorio,1,0,0,Enviada,1,22,Éxito,Alta
2023-2,2023-08-05,10295,Docente,Segunda Práctica Calificada,Seguimiento,3,0,0,Enviada,1,17,Éxito,Alta
2022-2,2022-07-06,3348,Docente,Primera Práctica Calificada,Preparación,3,0,0,Enviada,1,29,Éxito,Alta
2023-2,2023-07-20,8686,Estudiante,Primera Práctica Calificada,Recordatorio,3,0,0,Enviada,1,10,Éxito,Media
2022-2,2022-07-14,11997,Estudiante,Examen Final,Justificación,3,0,0,Enviada,1,10,Éxito,Alta
2023-1,2023-06-13,10124,Docente,Tercera Práctica Calificada,Justificación,1,0,0,Enviada,1,8,Éxito,Media
2021-2,2021-10-29,12324,Docente,Examen Final,Asistencia,3,0,0,Enviada,0,0,Éxito,Nula
2023-1,2023-02-09,5245,Estudiante,Tercera Práctica Calificada,Recordatorio,1,0,0,Enviada,1,21,Éxito,Media
2024-1,2024-06-18,2880,Estudiante,Primera Práctica Calificada,Seguimiento,1,0,0,Fallida,0,0,Fallo,Nula
2022-2,2022-11-26,11606,Docente,Cuarta Práctica Calificada,Justificación,5,0,0,Enviada,0,0,Éxito,Nula
2021-1,2021-01-11,11847,Docente,Examen Sustitutorio,Preparación,0,0,0,Enviada,0,0,Éxito,Nula
2022-2,2022-12-25,9243,Estudiante,Primera Práctica Calificada,Recordatorio,3,0,0,Enviada,1,16,Éxito,Baja
2024-1,2024-05-17,10942,Docente,Cierre de Ciclo,Preparación,1,15,0,Pendiente,0,0,Fallo,Nula
2024-1,2024-03-21,8035,Estudiante,Cierre de Ciclo,Preparación,2,15,0,Enviada,0,0,Éxito,Nula
2021-2,2021-10-22,11225,Estudiante,Examen Final,Preparación,7,0,0,Enviada,1,20,Éxito,Alta
2021-1,2021-05-25,8168,Estudiante,Cierre de Ciclo,Preparación,1,0,0,Enviada,0,0,Éxito,Nula
2023-2,2023-11-05,12309,Docente,Segunda Práctica Calificada,Recordatorio,5,0,0,Enviada,1,7,Éxito,Baja
2024-1,2024-04-03,8969,Docente,Inicio de Ciclo,Seguimiento,2,0,0,Enviada,1,29,Éxito,Media
